atom_id,atom_name,x,y,z,atom_type,subst_id,subst_name,charge
1,C1,0.5612173913043472,1.8296086956521762,3.31591304347826,C.2,1,ZMR,0.081
2,O1A,-0.36078260869565293,2.7856086956521793,3.4549130434782604,O.co2,1,ZMR,-0.5623
3,O1B,1.4392173913043471,1.6286086956521757,4.093913043478261,O.co2,1,ZMR,-0.5623
4,C2,0.48121739130434715,0.9886086956521822,2.1089130434782604,C.2,1,ZMR,0.1099
5,C3,1.3432173913043473,-0.02739130434782311,1.9399130434782608,C.2,1,ZMR,-0.0168
6,C4,1.3092173913043472,-0.8713913043478243,0.7019130434782603,C.3,1,ZMR,0.1182
7,C5,0.5212173913043472,-0.2433913043478242,-0.3900869565217402,C.3,1,ZMR,0.1162
8,N5,0.1572173913043473,-1.2343913043478238,-1.392086956521739,N.am,1,ZMR,-0.2758
9,C10,0.6972173913043473,-1.2893913043478236,-2.613086956521739,C.2,1,ZMR,0.1735
10,O10,1.4312173913043473,-0.43539130434782436,-3.0680869565217392,O.2,1,ZMR,-0.3974
11,C11,0.34321739130434725,-2.5293913043478184,-3.4090869565217403,C.3,1,ZMR,0.0257
12,C6,-0.7827826086956526,0.3516086956521818,0.22091304347826046,C.3,1,ZMR,0.1332
13,O6,-0.4597826086956527,1.296608695652182,1.2369130434782605,O.3,1,ZMR,-0.3188
14,C7,-1.8347826086956527,0.8996086956521765,-0.7310869565217395,C.3,1,ZMR,0.1155
15,O7,-1.0067826086956528,1.479608695652182,-1.1750869565217403,O.3,1,ZMR,-0.3861
16,C8,-3.0157826086956527,1.4446086956521782,-0.11508695652173984,C.3,1,ZMR,0.1068
17,O8,-3.5897826086956526,0.2856086956521793,0.4959130434782608,O.3,1,ZMR,-0.3869
18,C9,-4.024782608695653,2.070608695652176,-1.0760869565217401,C.3,1,ZMR,0.0727
19,O9,-4.627782608695653,1.0606086956521779,-1.88408695652174,O.3,1,ZMR,-0.3924
20,NE,2.622217391304347,-1.2313913043478237,0.21191304347826012,N.pl3,1,ZMR,-0.2592
21,CZ,2.8542173913043474,-2.38239130434782,-0.4130869565217399,C.cat,1,ZMR,0.2902
22,NH1,1.9152173913043473,-3.331391304347818,-0.49508695652173884,N.pl3,1,ZMR,-0.2847
23,NH2,4.027217391304347,-2.545391304347824,-1.0190869565217398,N.pl3,1,ZMR,-0.2847
